iter	Passed	Remaining
403	10903	16084
404	10919	16041
405	10943	16010
406	10960	15969
407	10975	15924
408	10997	15891
409	11009	15843
410	11032	15810
411	11054	15776
412	11073	15738
413	11100	15712
414	11114	15668
415	11133	15629
416	11147	15585
417	11168	15549
418	11201	15532
419	11243	15527
420	11255	15479
421	11278	15447
422	11295	15407
423	11314	15370
424	11339	15341
425	11355	15299
426	11371	15259
427	11395	15229
428	11412	15189
429	11435	15158
430	11450	15116
431	11463	15072
432	11485	15040
433	11501	15000
434	11523	14967
435	11544	14933
436	11560	14893
437	11577	14854
438	11600	14824
439	11616	14785
440	11643	14758
441	11655	14714
442	11669	14671
443	11682	14629
444	11721	14619
445	11748	14593
446	11761	14551
447	11774	14507
448	11797	14477
449	11825	14453
450	11849	14423
451	11862	14382
452	11878	14343
453	11897	14307
454	11916	14273
455	11932	14234
456	11959	14210
457	11976	14173
458	11993	14136
459	12010	14099
460	12025	14060
461	12049	14031
462	12066	13995
463	12084	13959
464	12100	13922
465	12117	13885
466	12134	13849
467	12154	13816
468	12177	13787
469	12202	13759
470	12254	13763
471	12271	13727
472	12288	13690
473	12309	13660
474	12321	13617
475	12345	13590
476	12361	13553
477	12385	13525
478	12408	13496
479	12424	13459
480	12444	13427
481	12459	13390
482	12482	13361
483	12499	13325
484	12513	13287
485	12529	13251
486	12552	13222
487	12572	13190
488	12590	13157
489	12608	13123
490	12625	13088
491	12640	13051
492	12671	13031
493	12691	12999
494	12708	12964
495	12724	12929
496	12740	12893
497	12765	12868
498	12803	12854
499	12832	12832
500	12846	12794
501	12873	12770
502	12896	12742
503	12910	12705
504	12927	12671
505	12940	12633
506	13201	12836
507	13259	12842
508	13294	12824
509	13368	12844
510	13444	12866
511	13466	12835
512	13487	12803
513	13505	12769
514	13527	12739
515	13540	12700
516	13559	12668
517	13577	12633
518	13595	12599
519	13613	12566
520	13634	12535
521	13653	12502
522	13675	12472
523	13699	12444
524	13715	12408
525	13728	12371
526	13745	12337
527	13778	12317
528	13797	12284
529	13817	12253
530	13835	12219
531	13875	12206
532	13892	12172
533	13911	12139
534	13925	12103
535	13945	12071
536	13958	12034
537	13985	12009
538	14003	11976
539	14016	11939
540	14047	11918
541	14067	11887
542	14093	11861
543	14105	11823
544	14123	11791
545	14143	11760
546	14164	11730
547	14187	11701
548	14208	11672
549	14239	11650
550	14264	11624
551	14281	11591
552	14314	11570
553	14340	11545
554	14360	11514
555	14378	11482
556	14399	11452
557	14412	11416
558	14430	11384
559	14444	11349
560	14464	11318
561	14483	11287
562	14501	11255
563	14524	11228
564	14543	11197
565	14572	11173
566	14589	11141
567	14605	11108
568	14618	11072
569	14635	11040
570	14672	11023
571	14692	10993
572	14706	10959
573	14722	10926
574	14758	10908
575	14789	10886
576	14805	10853
577	14826	10824
578	14844	10794
579	14863	10763
580	14887	10736
581	14903	10704
582	14915	10668
583	14932	10636
584	14953	10608
585	14978	10582
586	15002	10555
587	15021	10525
588	15037	10492
589	15055	10462
590	15071	10430
591	15101	10407
592	15120	10377
593	15136	10345
594	15153	10314
595	15172	10285
596	15204	10263
597	15227	10236
598	15259	10215
599	15286	10190
600	15304	10160
601	15329	10134
602	15350	10106
603	15369	10076
604	15391	10049
605	15416	10023
606	15435	9993
607	15452	9962
608	15470	9932
609	15489	9903
610	15504	9871
611	15527	9844
612	15546	9814
613	15564	9784
614	15582	9754
615	15602	9726
616	15647	9713
617	15672	9687
618	15695	9660
619	15712	9630
620	15745	9609
621	15758	9576
622	15777	9547
623	15798	9519
624	15815	9489
625	15833	9459
626	16085	9569
627	16164	9575
628	16189	9549
629	16201	9515
630	16218	9484
631	16232	9452
632	16277	9437
633	16311	9416
634	16373	9411
635	16392	9382
636	16410	9351
637	16425	9319
638	16443	9289
639	16461	9259
640	16482	9231
641	16500	9201
642	16528	9176
643	16547	9147
644	16561	9115
645	16588	9090
646	16605	9059
647	16622	9029
648	16637	8998
649	16662	8972
650	16685	8944
651	16698	8912
652	16736	8893
653	16755	8864
654	16779	8837
655	16801	8810
656	16818	8780
657	16830	8747
658	16846	8717
659	16858	8684
660	16884	8659
661	16901	8629
662	16922	8601
663	16943	8573
664	16965	8546
665	16982	8516
666	17001	8487
667	17019	8458
668	17035	8428
669	17053	8399
670	17072	8371
671	17086	8340
672	17107	8312
673	17123	8282
674	17155	8259
675	17183	8235
676	17201	8206
677	17217	8177
678	17236	8148
679	17254	8119
680	17293	8100
681	17313	8072
682	17330	8043
683	17350	8015
684	17377	7991
685	17393	7961
686	17410	7932
687	17426	7902
688	17453	7877
689	17469	7848
690	17482	7817
691	17500	7789
692	17518	7760
693	17535	7731
694	17553	7703
695	17576	7677
696	17597	7650
697	17615	7621
698	17632	7593
699	17663	7569
700	17680	7541
701	17697	7512
702	17731	7491
703	17751	7463
704	17772	7436
705	17795	7410
706	17822	7386
707	17838	7357
708	17855	7328
709	17879	7302
710	17893	7273
711	17909	7244
712	17924	7215
713	17940	7186
714	17954	7156
715	17987	7134
716	18004	7106
717	18019	7077
718	18045	7052
719	18056	7021
720	18086	6998
721	18104	6971
722	18118	6941
723	18136	6914
724	18154	6886
725	18170	6857
726	18193	6832
727	18211	6804
728	18229	6776
729	18245	6748
730	18274	6724
731	18310	6703
732	18335	6678
733	18349	6649
734	18383	6627
735	18401	6600
736	18417	6572
737	18440	6546
738	18467	6522
739	18495	6498
740	18510	6469
741	18528	6442
742	18541	6413
743	18559	6386
744	18582	6360
745	18605	6334
746	18627	6308
747	18643	6281
748	18659	6253
749	18705	6235
750	18732	6210
751	18750	6183
752	18776	6159
753	18795	6132
754	18811	6104
755	18831	6077
756	18844	6049
757	18869	6024
758	18887	5997
759	18945	5982
760	18968	5957
761	18988	5930
762	19006	5903
763	19023	5876
764	19047	5851
765	19065	5824
766	19084	5797
767	19101	5770
768	19126	5745
769	19144	5718
770	19164	5692
771	19187	5666
772	19199	5638
773	19216	5611
774	19231	5583
775	19258	5559
776	19288	5535
777	19314	5511
778	19331	5484
779	19356	5459
780	19389	5437
781	19406	5409
782	19420	5382
783	19439	5355
784	19458	5329
785	19488	5306
786	19504	5278
787	19547	5259
788	19719	5273
789	19777	5257
790	19810	5234
791	19824	5206
792	19844	5180
793	19862	5153
794	19883	5127
795	19906	5101
796	19926	5075
797	19949	5049
798	19967	5023
799	19983	4995
800	20009	4971
801	20024	4943
802	20048	4918
803	20060	4890
804	20076	4863
805	20101	4838
806	20134	4815
807	20153	4789
808	20171	4762
809	20184	4734
810	20202	4708
811	20223	4682
812	20242	4655
813	20256	4628
814	20277	4602
815	20290	4575
816	20335	4554
817	20439	4547
818	20495	4529
819	20530	4506
820	20574	4485
821	20626	4466
822	20656	4442
823	20674	4415
824	20694	4389
825	20707	4362
826	20726	4335
827	20754	4311
828	20770	4284
829	20971	4295
830	21004	4271
831	21051	4250
832	21112	4232
833	21152	4210
834	21183	4185
835	21201	4159
836	21216	4131
837	21232	4104
838	21248	4077
839	21277	4052
840	21293	4025
841	21309	3998
842	21341	3974
843	21389	3953
844	21416	3928
845	21432	3901
846	21447	3874
847	21465	3847
848	21484	3821
849	21504	3794
850	21521	3768
851	21537	3741
852	21550	3713
853	21571	3687
854	21600	3663
855	21640	3640
856	21656	3613
857	21679	3587
858	21697	3561
859	21713	3534
860	21729	3507
861	21747	3481
862	21773	3456
863	21793	3430
864	21822	3405
865	21839	3379
866	21856	3352
867	21882	3327
868	21901	3301
869	21918	3275
870	21937	3249
871	21950	3222
872	21971	3196
873	21987	3169
874	22007	3143
875	22033	3118
876	22055	3093
877	22073	3067
878	22092	3041
879	22109	3014
880	22123	2988
881	22160	2964
882	22184	2939
883	22196	2912
884	22219	2887
885	22251	2863
886	22270	2837
887	22292	2811
888	22306	2785
889	22337	2760
890	22367	2736
891	22388	2710
892	22409	2685
893	22436	2660
894	22461	2635
895	22488	2610
896	22504	2584
897	22523	2558
898	22555	2534
899	22579	2508
900	22594	2482
901	22632	2458
902	22649	2432
903	22689	2409
904	22707	2383
905	22723	2357
906	22739	2331
907	22763	2306
908	22781	2280
909	22803	2255
910	22820	2229
911	22836	2203
912	22853	2177
913	22871	2151
914	22900	2127
915	22918	2101
916	22938	2076
917	22951	2050
918	22974	2024
919	22992	1999
920	23008	1973
921	23023	1947
922	23041	1922
923	23055	1896
924	23086	1871
925	23105	1846
926	23124	1821
927	23140	1795
928	23154	1769
929	23175	1744
930	23205	1719
931	23220	1694
932	23237	1668
933	23250	1642
934	23266	1617
935	23292	1592
936	23315	1567
937	23342	1542
938	23364	1517
939	23401	1493
940	23418	1468
941	23440	1443
942	23455	1417
943	23473	1392
944	23492	1367
945	23509	1341
946	23535	1317
947	23552	1291
948	23571	1266
949	23609	1242
950	23625	1217
951	23640	1191
952	23657	1166
953	23671	1141
954	23696	1116
955	23716	1091
956	23732	1066
957	23757	1041
958	23775	1016
959	23796	991
960	23813	966
961	23832	941
962	23844	916
963	23862	891
964	23877	866
965	23897	841
966	23910	815
967	23927	791
968	23942	765
969	23972	741
970	23997	716
971	24012	691
972	24036	667
973	24063	642
974	24078	617
975	24098	592
976	24114	567
977	24130	542
978	24148	517
979	24164	493
980	24195	468
981	24208	443
982	24235	419
983	24255	394
984	24269	369
985	24282	344
986	24301	320
987	24318	295
988	24349	270
989	24381	246
990	24404	221
991	24422	196
992	24446	172
993	24463	147
994	24483	123
995	24504	98
996	24526	73
997	24538	49
998	24578	24
999	24595	0
