iter	Logloss
0	0.5866252747
1	0.4992419739
2	0.4159825592
3	0.3443404007
4	0.2898603973
5	0.239622673
6	0.2021965904
7	0.1717883224
8	0.1471092415
9	0.1234205742
10	0.1045037594
11	0.08956490898
12	0.07588888931
13	0.06483275986
14	0.05504568577
15	0.04748245335
16	0.0410092001
17	0.0350711832
18	0.03046788359
19	0.02643527126
20	0.02322789049
21	0.02015750456
22	0.01752705336
23	0.01513340235
24	0.01322345924
25	0.01172425389
26	0.01026400113
27	0.009160194397
28	0.008457122326
29	0.007606465101
30	0.007026484966
31	0.006383153796
32	0.005830189824
33	0.005349387169
34	0.00496288538
35	0.004639655113
36	0.004318256378
37	0.004015226603
38	0.003670669973
39	0.003461538315
40	0.003260547519
41	0.003089408457
42	0.0029430812
43	0.002802481771
44	0.002686863482
45	0.002585949957
46	0.002487288684
47	0.002402132303
48	0.002313151419
49	0.002238229811
50	0.002168959111
51	0.002102933705
52	0.002034433395
53	0.001954012126
54	0.001916976899
55	0.001853157818
56	0.001807757318
57	0.001753693402
58	0.001725547493
59	0.00168454355
60	0.001653632894
61	0.001611775547
62	0.001573583901
63	0.001539343134
64	0.00151020062
65	0.001487149298
66	0.001443186745
67	0.001423415765
68	0.001407304332
69	0.001386797801
70	0.001364875704
71	0.001342751056
72	0.001318563849
73	0.00130020453
74	0.001276470646
75	0.001265382081
76	0.001246176511
77	0.001227627769
78	0.001198786259
79	0.001186179027
80	0.001176164418
81	0.00116250208
82	0.001154338837
83	0.001140713006
84	0.001131266311
85	0.001112674832
86	0.00109662509
87	0.001076691106
88	0.00106937553
89	0.001061012492
90	0.001051570266
91	0.001041056015
92	0.001029996477
93	0.001020403825
94	0.001013287112
95	0.001004440658
96	0.0009952641726
97	0.0009790732637
98	0.0009690449685
99	0.0009636093304
100	0.0009542010576
101	0.0009440520704
102	0.0009330569729
103	0.0009214659929
104	0.000913366273
105	0.0009042871445
106	0.000897398755
107	0.0008890226185
108	0.0008810381368
109	0.0008726092875
110	0.0008529103994
111	0.0008457059562
112	0.0008379071355
113	0.0008272765577
114	0.0008175341934
115	0.0008112725094
116	0.0008052377179
117	0.0007971683741
118	0.0007905333713
119	0.0007841907516
120	0.0007742795199
121	0.0007644407079
122	0.0007570055798
123	0.0007513384223
124	0.0007442927957
125	0.0007315684259
126	0.0007218397632
127	0.0007139666528
128	0.0007026139498
129	0.0006904529184
130	0.0006799984202
131	0.0006731931865
132	0.0006685453951
133	0.0006613491699
134	0.0006521174163
135	0.0006389662176
136	0.0006343603879
137	0.0006240427569
138	0.0006158934534
139	0.0006045354307
140	0.0005938911512
141	0.0005842039958
142	0.0005754651129
143	0.0005665711761
144	0.0005627763867
145	0.0005552781075
146	0.0005462712049
147	0.00053859514
148	0.0005354081839
149	0.0005298666582
150	0.0005228935033
151	0.0005152936652
152	0.0005099753886
153	0.0005041969195
154	0.0004986128137
155	0.0004911944419
156	0.0004835100174
157	0.000476789318
158	0.000469076328
159	0.0004653932676
160	0.0004582711309
161	0.0004526077807
162	0.0004458940029
163	0.0004361826777
164	0.0004300984889
165	0.0004251279235
166	0.0004189702049
167	0.0004152415618
